startToncepts
numberOfEntities,3
5;
0,1,23,55;6,50,21,44;50,54,20,44;54,68,21,44;
7;
0,1,22,55;12,13,8,6;12,50,1,1;12,61,11,39;12,68,15,41;12,68,17,42;12,68,19,43;12,68,21,44;13,14,5,4;13,54,3,2;13,54,9,6;17,54,4,3;28,46,6,4;41,46,7,5;41,53,12,40;53,68,13,40;61,68,10,39;
8;
5,6,1,1;5,6,9,6;23,66,16,42;23,68,13,40;23,68,15,41;
