startToncepts
numberOfEntities,4
5;
0,1,32,55;6,50,29,44;50,54,28,44;54,60,29,44;60,65,28,44;65,68,29,44;
6;
0,1,31,55;3,9,15,39;3,9,24,42;3,9,25,43;3,9,28,44;3,24,20,41;4,12,1,1;9,10,9,5;9,11,14,39;9,20,29,44;9,32,23,42;9,33,26,43;11,32,15,39;12,13,9,5;15,25,1,1;17,18,9,5;20,24,30,44;24,25,9,5;24,28,18,40;24,28,21,41;24,44,29,44;27,32,1,1;28,33,20,41;28,67,16,40;31,32,9,5;32,56,13,39;32,56,22,42;33,44,25,43;33,67,19,41;34,35,3,1;34,35,9,5;36,43,1,1;42,43,9,5;44,52,27,43;44,56,30,44;45,46,1,1;47,48,2,1;49,50,1,1;51,52,9,5;52,68,26,43;56,60,14,39;56,60,23,42;56,68,29,44;60,68,13,39;60,68,22,42;67,68,17,40;67,68,20,41;
7;
0,1,31,55;12,13,10,6;12,21,1,1;12,28,23,42;12,28,25,43;12,35,15,39;12,41,29,44;12,68,19,41;13,14,6,4;13,18,12,6;13,21,4,2;17,18,5,3;28,29,8,4;28,35,24,42;28,54,12,6;28,68,26,43;31,33,4,2;31,35,1,1;31,54,5,3;35,41,14,39;35,61,23,42;37,38,1,1;41,42,9,5;41,68,13,39;41,68,16,40;41,68,30,44;44,46,1,1;44,50,4,2;45,46,7,4;45,46,9,5;48,50,1,1;52,54,4,2;61,68,22,42;
8;
5,6,1,1;5,6,11,6;23,66,22,42;23,68,16,40;23,68,20,41;
